investor,investor_email,sebi_reg_no,aif_category,investor_city,startup_name,domain,round,amount_usd,headquarters,date
Mumbai Angels Network,,,,,Big Bang Boom,Defence,Funding Round (Undisclosed),250.0,,
Vyom Family Office,,,,,Big Bang Boom,Defence,Funding Round (Undisclosed),250.0,,
SBI,,,,,Big Bang Boom,Defence,Funding Round (Undisclosed),250.0,,
Asquare Investing,,,,,Big Bang Boom,Defence,Funding Round (Undisclosed),250.0,,
Peak XV's Surge,,,,,Elivaas,Villa and apartment management,Series A,5000000.0,,
and other angel investors,,,,,Elivaas,Villa and apartment management,Series A,5000000.0,,
GMO Payment Gateway,,,,,Drip Capital,FinTech,Equity & Debt,113000000.0,"Palo Alto, US",
SMBC,,,,,Drip Capital,FinTech,Equity & Debt,113000000.0,"Palo Alto, US",
MARS Growth Capital (MUFG,,,,,InMobi,Mobile Advertising - Software,Debt Financing,100000000.0,Bengaluru,
Liquidity Group),,,,,InMobi,Mobile Advertising - Software,Debt Financing,100000000.0,Bengaluru,
Accion,,,,,FlexiLoans,MSME-Focused FinTech,Series C,290.0,Mumbai,
Nuveen,,,,,FlexiLoans,MSME-Focused FinTech,Series C,290.0,Mumbai,
Fundamentum,,,,,FlexiLoans,MSME-Focused FinTech,Series C,290.0,Mumbai,
Maj Invest,,,,,FlexiLoans,MSME-Focused FinTech,Series C,290.0,Mumbai,
Paramark VC,,,,,Centricity,Wealthtech,Seed Round,20000000.0,Gurugram,
Burman Family Office,,,,,Centricity,Wealthtech,Seed Round,20000000.0,Gurugram,
MS Dhoni Family Office,,,,,Centricity,Wealthtech,Seed Round,20000000.0,Gurugram,
Susquehanna Asia VC,,,,,AppsForBharat,Devotional App - Tech,Series B,18000000.0,Bengaluru,
Mirae Asset VC,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,AppsForBharat,Devotional App - Tech,Series B,18000000.0,Bengaluru,
Kalaari Capital,,,,,Clean Electric,Energy Storage,Series A,6000000.0,Pune,
Avaana Capital,,,,,Dharaksha Ecosolutions,Biotech,Seed Round,24.8,New Delhi,
Bestvantage Investments,,,,,Mitra,FMCG - D2C,Pre-Series A,11.0,Mumbai,
Dubai-based Family Office,,,,,Mitra,FMCG - D2C,Pre-Series A,11.0,Mumbai,
Colossa Ventures,,,,,Exposome,Clean-tech,Pre-Series A,10.0,Mumbai,
3i Partners,,,,,Exposome,Clean-tech,Pre-Series A,10.0,Mumbai,
Bhukhanvala Holdings,nk@108.vc,IN/AIF2/23-24/1349,Category II,Mumbai,Exposome,Clean-tech,Pre-Series A,10.0,Mumbai,
Excel Industries,,,,,Exposome,Clean-tech,Pre-Series A,10.0,Mumbai,
Spectrum Impact,,,,,Exposome,Clean-tech,Pre-Series A,10.0,Mumbai,
Paradigm Shift Capital,,,,,Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,Bengaluru,
iSeed,,,,,Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,Bengaluru,
Everywhere Ventures,,,,,Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,Bengaluru,
SucSEED Indovation Fund,,,,,GameEon,Gaming - Game Development,Funding Round,1000000.0,Mumbai,
ICE VC,,,,,GameEon,Gaming - Game Development,Funding Round,1000000.0,Mumbai,
IAN,,,,,GameEon,Gaming - Game Development,Funding Round,1000000.0,Mumbai,
CD EQUIFINANCE,,,,,GameEon,Gaming - Game Development,Funding Round,1000000.0,Mumbai,
Nexus Global Opportunities Fund,,,,,GameEon,Gaming - Game Development,Funding Round,1000000.0,Mumbai,
Social Alpha,info@paulasset.com,IN/AIF3/24-25/1602,Category III,Kolkata,Wundrsight,Digital Therapeutics,Seed Round,400000.0,Bengaluru,
WLDD,,,,,Supersquad,Creator Monetization,Funding Round,2.1,Mumbai,
Nitin Rajput,,,,,Supersquad,Creator Monetization,Funding Round,2.1,Mumbai,
Jivraj Singh Sachar,,,,,Supersquad,Creator Monetization,Funding Round,2.1,Mumbai,
All In Capital,,,,,Trisu,Jewelry - D2C,Pre-seed Round,,Jaipur,
JK Tyres,,,,,Trisu,Jewelry - D2C,Pre-seed Round,,Jaipur,
Amaanta Group,,,,,Trisu,Jewelry - D2C,Pre-seed Round,,Jaipur,
Proparco,,,,,Omnivore,AgriTech,Funding Round,5000000.0,Mumbai,
Artha Ventures,,,,,Futwork,Call-center Solutions,Series A,20.9,Mumbai,
Simile Capital,,,,,Futwork,Call-center Solutions,Series A,20.9,Mumbai,
Shadow Ventures,,,,,Track3D,Ai Construction Industry,Seed Round,4300000.0,-,
Monta Vista Capital,,,,,Track3D,Ai Construction Industry,Seed Round,4300000.0,-,
AC Ventures,,,,,Crackle Technologies,Adtech,Pre-seed Round,1700000.0,Delhi,
Quantiphi,,,,,Transcell Biologics,Biotech,-,,Hyderabad,
IAN Group,,,,,Transcell Biologics,Biotech,-,,Hyderabad,
Think Investments,,,,,Rapido,Bike-Taxi Aggregator,Series E,200000000.0,Bengaluru,
Invus Opportunities,,IN/AIF1/17-18/0321,Category I,,Rapido,Bike-Taxi Aggregator,Series E,200000000.0,Bengaluru,
Verlinvest,,,,,Blue Tokai,Coffee and Bakery,Series C,35000000.0,Gurugram,
A91 Partners,,,,,Blue Tokai,Coffee and Bakery,Series C,35000000.0,Gurugram,
Info Edge,,,,,Clean Electric,Energy Storage,Series A,48.5,Pune,
Kotak Alternate Asset Managers,,,,,Nutrabay,D2C Retail,Series A,5000000.0,New Delhi,
V Cube Ventures,,,,,The Hosteller,Backpacker Hostel,Series A,32.0,Mumbai,
LetsVenture Angel Fund,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,The Hosteller,Backpacker Hostel,Series A,32.0,Mumbai,
Angelist,,,,,The Hosteller,Backpacker Hostel,Series A,32.0,Mumbai,
Others,,,,,The Hosteller,Backpacker Hostel,Series A,32.0,Mumbai,
Kae Capital,,,,,RecommerceX,Chemical Recycling,Seed Round,3600000.0,Noida,
Family Offices,,,,,Invest4Edu,EdTech,Seed Round,3000000.0,Mumbai,
35North India Discovery Fund – II,tejasshah@31degreesnorth.in,IN/AIF3/25-26/1798,Category III,Ahmedabad,Global Care,Medical Tourism,Series A,3000000.0,Gurugram,
Vertex Ventures SEA & India,,,,,BigEndian Semiconductors,Semiconductors,Funding Round,3000000.0,Bengaluru,
Rainmatter Capital,,,,,TruNativ,Nutrition,Funding Round,25.0,Mumbai,
Prath Ventures,,,,,Theater,Fashion,Pre-Series A,1500000.0,Chandigarh,
Existing Angel Investors,,,,,Theater,Fashion,Pre-Series A,1500000.0,Chandigarh,
Andrew Johnston,,,,,Spolto,Sports-Tech,Seed Round,1000000.0,Pune,
Waveform Ventures,,,,,Valyx,B2B Financial Management,Pre-Seed Round,800000.0,Bengaluru,
Propell Fund,,,,,Valyx,B2B Financial Management,Pre-Seed Round,800000.0,Bengaluru,
Rainmatter,,,,,Boson Whitewater,Water Recycling,Equity Funding,10.0,Bengaluru,
Chandigarh Angel Network,,,,,LiaPlus AI,Customer Support Solutions,Seed Round,2.0,New Delhi,
Growth91,,,,,LiaPlus AI,Customer Support Solutions,Seed Round,2.0,New Delhi,
Mumbai Angels,,,,,ReCircle,Cleantech,Bridge Funding Round,,Mumbai,
1Crowd,,,,,Nautical Wings,Aerospace,Pre-Series A,,Bengaluru,
AllianceDAO,,,,,0xPPL,Social Networking - Blockchain,Strategic Funding Round,,Bengaluru,
Anagram,,,,,0xPPL,Social Networking - Blockchain,Strategic Funding Round,,Bengaluru,
Tata Capital,,,,,Sunsure Energy,Renewable Energy,Debt Financing,226.0,Haryana,
Innovation Foundation,,,,,Plan B,D2C Kids Innerwear,Funding Round,,Mumbai,
Bajaj Holdings,nk@108.vc,IN/AIF2/23-24/1349,Category II,Mumbai,Servify,Post-sales Services,Series D,84.0,Mumbai,
Innoven Capital,,,,,Servify,Post-sales Services,Series D,84.0,Mumbai,
Fireside,,,,,Pilgrim,Beauty and Personal Care,Extended Series B,75.0,Mumbai,
Vertex Ventures,,,,,Pilgrim,Beauty and Personal Care,Extended Series B,75.0,Mumbai,
SIDBI,,,,,Aroa Venture Partners,Investment Fund,Capital Commitment,40.0,Gurgaon,
UP Government's Fund,,,,,Aroa Venture Partners,Investment Fund,Capital Commitment,40.0,Gurgaon,
Brickwork,,,,,Legends League Cricket (LLC),Sports,Equity Round,39.0,Delhi,
Veena Jindal,,,,,HouseEazy,Real Estate,Series A,33.5,Noida,
IA,,,,,HouseEazy,Real Estate,Series A,33.5,Noida,
TRTL VC,,,,,LoanKuber,Financial Services,Pre-Series B,3500000.0,New Delhi,
ICMG,,,,,Ben & Gaws,Manufacturing Tech,Pre-Series A,3000000.0,New Delhi,
Irani Family Office,,,,,Cambrian Bioworks,Biotechnology,Seed Round,1450000.0,Bengaluru,
Vaibhav Hegde,,,,,Cambrian Bioworks,Biotechnology,Seed Round,1450000.0,Bengaluru,
Angel Investor,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,The Hive Hostels,Hospitality,Pre-IPO Funding Round,11.5,Mumbai,
Sixth Sense Ventures,,,,,The Hive Hostels,Hospitality,Pre-IPO Funding Round,11.5,Mumbai,
IAN Alpha Fund,info@paulasset.com,IN/AIF3/24-25/1602,Category III,Kolkata,Serigen Mediproducts,Biomedical Products,Funding Round,10.0,Pune,
angels,,,,,Serigen Mediproducts,Biomedical Products,Funding Round,10.0,Pune,
AIG Direct LLC,,,,,Acadru,EdTech,Pre-Series A,500000.0,Gurgaon,
Skywalker,,,,,ODA Class,EdTech,Series B,500000.0,Bengaluru,
Daituzi,,,,,ODA Class,EdTech,Series B,500000.0,Bengaluru,
Matrix Partners China,,,,,ODA Class,EdTech,Series B,500000.0,Bengaluru,
Gaurav Kumar,,,,,Yubi,FinTech,Equity capital,30000000.0,Chennai,
StartupXseed,,,,,Plutos ONE,Digital Services for Banking Sector,Seed Round,2000000.0,New Delhi,
Genesia Ventures,,,,,Plutos ONE,Digital Services for Banking Sector,Seed Round,2000000.0,New Delhi,
Auxano Capital,,,,,Plutos ONE,Digital Services for Banking Sector,Seed Round,2000000.0,New Delhi,
Raghuvanshi Investment,,,,,Plutos ONE,Digital Services for Banking Sector,Seed Round,2000000.0,New Delhi,
Asia Impact,,,,,Agrim,B2B Agri-inputs,Series B,17300000.0,Gurugram,
Anchor Investors,,,,,Baazar Style,Luxury Fashion,-,250.0,Kolkata,
Heritas Capital,,,,,Kreedo,EdTech,Series A,4000000.0,Bengaluru,
YourNest,,,,,DeepMatrix,Deep Tech,Funding Round,1600000.0,Bengaluru,
Arali Ventures,,,,,DeepMatrix,Deep Tech,Funding Round,1600000.0,Bengaluru,
Faering Capital,,,,,Hangyo,Food and Beverage,Venture Funding,25000000.0,Mangalore,
M&G Investments,,,,,Livpure,Appliances,Funding Round,208.0,Gurugram,
Ncubate Capital Partners,,,,,Livpure,Appliances,Funding Round,208.0,Gurugram,
Existing investors,,,,,Axio,Online Lending,Right Issue,167.0,Bengaluru,
Lucky Investment Managers,,,,,InvestorAi,Equity Investment Platform,Series A,80.0,London,
JM Financial,,,,,FlexiLoans,FinTech,Non-convertible debt,75.0,Mumbai,
JM Financial Private Equity,Meetali.Mistry@iiflw.com,IN/AIF3/12-13/0016,Category III,Mumbai,Zoff,Spices,Funding Round,40.0,Raipur,
8i Ventures,,,,,TransBnk,FinTech,Series A,4000000.0,New Delhi,
Accion Venture Lab,,,,,TransBnk,FinTech,Series A,4000000.0,New Delhi,
Ratio Ventures,,,,,TransBnk,FinTech,Series A,4000000.0,New Delhi,
Force Ventures,,,,,TransBnk,FinTech,Series A,4000000.0,New Delhi,
SenseAI Ventures,,,,,LLUMO AI,AI Optimisation,Seed Round,1000000.0,Noida,
AumVC,,,,,LLUMO AI,AI Optimisation,Seed Round,1000000.0,Noida,
Venture Catalyst,,,,,LLUMO AI,AI Optimisation,Seed Round,1000000.0,Noida,
IIM Indore Alumni Angel fund,,,,,LLUMO AI,AI Optimisation,Seed Round,1000000.0,Noida,
Cornerstone Ventures,,,,,Dopplr,Virtual Try-on Solutions,Funding Round,750000.0,Bengaluru,
U.S-based BAT VC,,,,,Dopplr,Virtual Try-on Solutions,Funding Round,750000.0,Bengaluru,
Viral Bajaria,,,,,Revrag,B2B Sales,Pre-Seed Round,600000.0,Bengaluru,
Kunal Shah,,,,,Revrag,B2B Sales,Pre-Seed Round,600000.0,Bengaluru,
Deepak Anchala,,,,,Revrag,B2B Sales,Pre-Seed Round,600000.0,Bengaluru,
Vetri Vellore,,,,,Revrag,B2B Sales,Pre-Seed Round,600000.0,Bengaluru,
Pontaq VC,,,,,NxtQube,Dronetech,Seed Round,,Nasik,
Ananta Bizcon LLP,,,,,NxtQube,Dronetech,Seed Round,,Nasik,
Rushikesh Bhandari,,,,,NxtQube,Dronetech,Seed Round,,Nasik,
InCred Wealth,ronak@11hadvisors.com,IN/AIF3/23-24/1391,Category III,Ahmedabad,Oyo,Hospitality,Series G,1457.0,Gurgaon,
Patient Capital,,,,,Oyo,Hospitality,Series G,1457.0,Gurgaon,
J&A Partners,,,,,Oyo,Hospitality,Series G,1457.0,Gurgaon,
Mankind Pharma promoters' family office,,,,,Oyo,Hospitality,Series G,1457.0,Gurgaon,
ASK Financial,,,,,Oyo,Hospitality,Series G,1457.0,Gurgaon,
National Investment,,,,,Ather Energy,EV,Funding Round,600.0,Bengaluru,
Infrastructure Fund (NIIF),,,,,Ather Energy,EV,Funding Round,600.0,Bengaluru,
MUFG Bank,,,,,Neo,Wealth and Asset Management,Series B,400.0,Mumbai,
Euclidean Capital LLC,,,,,Neo,Wealth and Asset Management,Series B,400.0,Mumbai,
Valar Ventures,,,,,Syfe,FinTech,Funding Round,27000000.0,Gurugram,
Unbound,,,,,Syfe,FinTech,Funding Round,27000000.0,Gurugram,
two UK family offices,,,,,Syfe,FinTech,Funding Round,27000000.0,Gurugram,
Maniv,,,,,Fresh Bus,Electric Intercity Bus,Series A,87.5,Hyderabad,
Riverwalk Holdings,nk@108.vc,IN/AIF2/23-24/1349,Category II,Mumbai,Fresh Bus,Electric Intercity Bus,Series A,87.5,Hyderabad,
Titan Capital Winners Fund,,,,,Beco,Eco-Friendly Products,Pre-Series B,10000000.0,Mumbai,
Manish Choksi,,,,,Beco,Eco-Friendly Products,Pre-Series B,10000000.0,Mumbai,
Rukam Capital,,,,,Beco,Eco-Friendly Products,Pre-Series B,10000000.0,Mumbai,
Synergy Capital,,,,,Beco,Eco-Friendly Products,Pre-Series B,10000000.0,Mumbai,
Random Walk Solutions,,,,,Innoviti,Payment Gateway,Series E,70.0,Bengaluru,
Patni Family Office,,,,,Innoviti,Payment Gateway,Series E,70.0,Bengaluru,
Alumni Ventures,,,,,Innoviti,Payment Gateway,Series E,70.0,Bengaluru,
Antler India,,,,,HealthCRED,B2B Healthcare Financing,Seed Round,1200000.0,New Delhi,
iSeedVC,,,,,HealthCRED,B2B Healthcare Financing,Seed Round,1200000.0,New Delhi,
Angel List India,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,HealthCRED,B2B Healthcare Financing,Seed Round,1200000.0,New Delhi,
Piper Serica VC,,,,,Six Sense Mobility,Smart Mobility,Seed Round,6.0,Mumbai,
Anicut,,,,,MiClient,AI-driven B2B Sales Platform,Seed Round,3.9,Gurugram,
RTAF,,,,,MiClient,AI-driven B2B Sales Platform,Seed Round,3.9,Gurugram,
Keiretsu,,,,,MiClient,AI-driven B2B Sales Platform,Seed Round,3.9,Gurugram,
NuVentures,,,,,Adukale,FMCG,Funding Round,,Bangalore,
Games24x7,,,,,CricHeroes,Sportstech,Series B1,,Ahmedabad,
WeFounderCircle,,,,,CricHeroes,Sportstech,Series B1,,Ahmedabad,
Eagle10 Ventures,,,,,CricHeroes,Sportstech,Series B1,,Ahmedabad,
Ivy Growth,Info@1000x.co.in,IN/AIF2/25-26/1983,Category II,Kolkata,CricHeroes,Sportstech,Series B1,,Ahmedabad,
Evolvence India Fund,,,,,GenWorks Health,Healthcare,Funding Round,41.0,Bengaluru,
NG Family Trust,,,,,Oneiric11 Gaming,Esports and Gaming Platform,Pre-Series A,1000000.0,Chandigarh,
TAC Holdings,nk@108.vc,IN/AIF2/23-24/1349,Category II,Mumbai,Oneiric11 Gaming,Esports and Gaming Platform,Pre-Series A,1000000.0,Chandigarh,
Promoters,,,,,BiofuelCircle,Marketplace for biomass and biofuel,Funding Round,45.0,Pune,
Acquired assets of DeltiasGaming.com,,,,,Absolute Sports,Sports Media,Acquisition,,Bengaluru,
Docprime Technologies,info@paulasset.com,IN/AIF3/24-25/1602,Category III,Kolkata,Visit Health,Healthcare,Fundraise,250.0,"California, US",
promoters,,,,,Visit Health,Healthcare,Fundraise,250.0,"California, US",
employees,,,,,Visit Health,Healthcare,Fundraise,250.0,"California, US",
Singapore-based EDBI,,,,,ShareChat,Social Media Company,Debt Round,16000000.0,Bengaluru,
Capria Ventures,,,,,Agrizy,AgriTech,Series A,9800000.0,Bengaluru,
Thai Wah Ventures,,,,,Agrizy,AgriTech,Series A,9800000.0,Bengaluru,
Bertelsmann,,,,,Scimplify,Speciality Chemicals,Series A,9500000.0,Bengaluru,
JB-Dooeun,,,,,Kindlife.in,"Beauty, wellness, and health",Series A,8000000.0,New Delhi,
TK Fund,,,,,Kindlife.in,"Beauty, wellness, and health",Series A,8000000.0,New Delhi,
MIXI Global Investments,,,,,Kindlife.in,"Beauty, wellness, and health",Series A,8000000.0,New Delhi,
Siana Capital,,,,,Metadome.ai,XR Startup,Series A,6500000.0,"Troy, Michigan",
3to-1 Capital,,,,,Metadome.ai,XR Startup,Series A,6500000.0,"Troy, Michigan",
Manish Choksi’s family office,,,,,Metadome.ai,XR Startup,Series A,6500000.0,"Troy, Michigan",
BIG Global Investments JSC,,,,,EthrealX,Healthcare,Seed Round,5000000.0,Bengaluru,
BlueHill Capital,,,,,EthrealX,Healthcare,Seed Round,5000000.0,Bengaluru,
Campus Fund,,,,,EthrealX,Healthcare,Seed Round,5000000.0,Bengaluru,
Golden Sparrow Ventures,,,,,EthrealX,Healthcare,Seed Round,5000000.0,Bengaluru,
Sidbi Venture Capital,,,,,SigTuple Medtech,Medtech,Series C Extension,33.0,Bengaluru,
Ruchi Deepak,,,,,Juleo,Dating App,Funding Round,2500000.0,Delhi,
Harsh Jain,,,,,Juleo,Dating App,Funding Round,2500000.0,Delhi,
Lalit Keshre,,,,,Juleo,Dating App,Funding Round,2500000.0,Delhi,
Chona Family,,,,,Neuron Energy,EV Batteries,Series A,20.0,Mumbai,
Capri Global Family Office,,,,,Neuron Energy,EV Batteries,Series A,20.0,Mumbai,
Angel Bay India Accelerator,,,,,FINQY,FinTech,Funding Round,2000000.0,Mumbai,
Private Investors,Meetali.Mistry@iiflw.com,IN/AIF3/12-13/0016,Category III,Mumbai,FINQY,FinTech,Funding Round,2000000.0,Mumbai,
Sunicon Ventures,,,,,Hyperbots,"AI for Finance, Accounting",Seed Round,2000000.0,Dover,
Several Family Offices,,,,,Burma Burma,Vegan Restaurant,Equity Investment,2000000.0,Mumbai,
UBS Optimus Foundation,,,,,Karma Primary Healthcare,HealthTech,Series A,11.0,Udaipur,
Gruhas Collective Consumer Fund (GCCF),,,,,Bebe Burp,Baby Food,Pre-Series A,8.0,Surat,
Hatcher+,,,,,Cellivate Technologies,Biotech,Seed Round,1000000.0,Singapore,
RK Family Trust,,,,,CURRYiT,Food and Beverages,Seed Round,4.5,New Delhi,
Tangent Advisors,,,,,CURRYiT,Food and Beverages,Seed Round,4.5,New Delhi,
Freeflow Ventures,,,,,CURRYiT,Food and Beverages,Seed Round,4.5,New Delhi,
Mithun Sacheti,,,,,IppoPay,FinTech,Funding Round,,Chennai,
Siddhartha Sacheti,,,,,IppoPay,FinTech,Funding Round,,Chennai,
Acquired Fusebox Games Limited,,,,,Nazara Technologies,"Gaming, Media",Acquisition,27000000.0,Mumbai,
Acquired 54% in Rediff.com India Ltd,,,,,Infibeam Avenues,FinTech,Acquisition,54.0,"GiFT, Gandhinagar",
Acquired additional 48.42% in Paper Boat Apps (PBA),,,,,Nazara Technologies,"Gaming, Media",Acquisition,,Mumbai,
Anchor investors,,,,,Unicommerce,SaaS,-,124.5,New Delhi,
Snamsolutions,,,,,Neeman's,Consumer – Fashion Tech,Series B,3950000.0,Telangana,
Startup India,,,,,EveoAI,Consumer – Fashion Tech,Seed,27800.0,Gujarat,
Madhusudan Kela,,,,,Wow Momo,Food Service Chains,Series D,8350000.0,West Bengal,
BeyondSeed,,,,,Wellwith,Food & Beverage Products,Seed,145000.0,Uttar Pradesh,
Zerodha,,,,,AquaAirX,Service Robots,Seed,1390000.0,Karnataka,
Idapthub,,,,,Clipo,Video Creation Tools,Seed,55800.0,Uttar Pradesh,
Phoenix Angels,,,,,Oppam,Healthcare Booking,Seed,167000.0,Kerala,
India SME Investments,,,,,Loksuvidha,Consumer & SME Loans,Series A,2120000.0,Maharashtra,
Venkat Ramaswamy,,,,,Suditi Industries,Contract Manufacturing,Post-IPO,6570000.0,Maharashtra,
Premier Energies,,,,,Transcon Ind,Electricity Equipment,Series B,27900000.0,Telangana,
ValueQuest,,,,,Coreel,Embedded Systems,Series B,30000000.0,Karnataka,
Jungle Ventures,,,,,Prosperr,FinTech – Tax Tech,Seed,4000000.0,Karnataka,
Community Investment Management,,,,,True Balance,Alternative Lending,Debt,75000000.0,Haryana,
Kriti Sanon,,,,,Supply6,Nutraceuticals,Angel,,Karnataka,
MUFG,,,,,Shriram Finance,Consumer & SME Loans,Post-IPO,4420000000.0,Maharashtra,
Motilal Oswal,,,,,Sensa Core,Traditional Diagnostics,PE,72000000.0,Telangana,
Karan Wahi,,,,,Knack,Food & Beverage,Angel,,Delhi,
Vins Bio Products,,,,,PlasmaGen BioSciences,Pharmaceuticals,Series D,16700000.0,Karnataka,
TDK Ventures,,,,,EtherealX,Space Tech,Series A,21000000.0,Karnataka,
MeitY,,,,,Sophrosyne Technologies,Semiconductors,Grant,1200000.0,Karnataka,
Ideaspring Capital,,,,,LatentForce.ai,Agentic AI,Seed,1700000.0,Karnataka,
BITKRAFT Ventures,,,,,StockGro,FinTech – Investment Tech,Series B,13000000.0,Karnataka,
VCAPL,,,,,Entuple E-Mobility,Energy Storage Tech,Seed,1440000.0,Karnataka,
Sauce,,,,,Loopie,Mom & Baby Care,Debt,,Haryana,
Mynavi,,,,,Virohan,EdTech – Healthcare,Series B,7500000.0,Haryana,
Ramesh Bhutada,,,,,Oben Electric,Electric Vehicles,Series A,9400000.0,Karnataka,
Singularity AMC,,,,,Qucev,Electric Vehicles,Series B,15000000.0,Telangana,
Capria,,,,,Magma,Manufacturing Tech,Series A,3000000.0,Gujarat,
Aavishkaar Capital,,,,,WorkIndia,HRTech,Series B,10800000.0,Karnataka,
L Catterton,,,,,Haldirams,Food & Beverage,PE,,Maharashtra,
Unilazer Ventures,,,,,CuePilot,K-12 EdTech,Seed,1800000.0,West Bengal,
Somerset Capital,,,,,NU Hospitals,Hospital Chains,Series A,,Karnataka,
Vertex Holdings,nk@108.vc,IN/AIF2/23-24/1349,Category II,Mumbai,ace turtle,Retail Tech,Series B,5000000.0,Karnataka,
SageOne,,,,,Tagbin,AR/VR Services,Series A,10000000.0,Haryana,
Chigurupati Krishna Prasad,,,,,DecodeAge,Nutraceuticals,Seed,1700000.0,Karnataka,
True North,bhavit@2point2capital.com,IN/AIF3/19-20/0686,Category III,Mumbai,Samtel Avionics,Aerospace Tech,Debt,8300000.000000001,Delhi,
FIT,,,,,CCraft,Photonic Chips,Debt,126000.0,Tamil Nadu,
Theia Ventures,,,,,Novyte Materials,Materials Tech,Seed,459000.0,Maharashtra,
Bennett Coleman,,,,,Zaggle,HRTech,Post-IPO,1650000.0,Telangana,
Mirto,,,,,Elmentoz,Insect Protein,Seed,4500000.0,Odisha,
Sooraj Singh,,,,,Swizzle,Sparkling Beverages,Seed,221000.0,Karnataka,
Tether,,,,,Speed,Crypto Payments,Series A,8000000.0,Nevada / Gujarat,
SBI Investment,,,,,Digantara,Space Tech,Series B,50000000.0,Karnataka,
Bengal Finance & Investment,,,,,Ganeshconsumer,Food Processing,Post-IPO,,—,
Invicta Capserv,,,,,Shaurrya Teleservices,Telecom > Telecom Infrastructure,Seed,,Maharashtra,
360 One,,IN/AIF1/17-18/0321,Category I,,SISIR Radar,"Aerospace, Maritime & Defence Tech > Space Tech",Series A,7000000.0,West Bengal,
Kiara Luxe Holdings,,,,,Jiwya,Consumer Goods > Apparel Brands,Seed,350000.0,Maharashtra,
Nippon,,,,,Swiggy,Food & Agriculture Tech > Food Tech,Post-IPO,1200000000.0,Karnataka,
Gujarat Venture Finance,,,,,Soleos Solar Energy,Energy > Solar Energy,Series A,12000000.0,Gujarat,
Merak Ventures,,,,,NeoSapien,Consumer > Fashion Tech,Seed,2000000.0,Karnataka,
SIG Venture Capital,,,,,Skydo,FinTech > Digital Remittance,Series A,10000000.0,Karnataka,
Trifecta Capital,,,,,Dr Paws,Healthcare > Clinic Chains,Venture Debt,946000.0,Karnataka,
SBI Ventures,,,,,Smart Joules,High Tech > IoT Applications,Series B,10000000.0,Delhi,
Blume Venture,,,,,Uolo,EdTech > K-12 EdTech,Series A,7000000.0,Haryana,
12 Flags Group,,,,,KNOT,Consumer > Fashion Tech,Series A,5000000.0,Karnataka,
FMO,,,,,BlackSoil,FinTech > Alternative Lending,Series C,7200000.0,"Maharashtra, Gujarat",
IFC,,,,,Fibe,FinTech > Alternative Lending,Series F,35000000.0,Maharashtra,
Tata ClassEdge,,,,,ENpower,EdTech > K-12 EdTech,Seed,,Maharashtra,
Gorilla,,,,,Astrikos,Enterprise Applications – Big Data Analytics,Seed,,Karnataka,
Everhope,,,,,SSO Hospital,Healthcare – Hospital Chains,Seed,2800000.0,Maharashtra,
AFL,,,,,Newron,EdTech – K-12,Seed,4440000.0,Delhi,
Zoho,,,,,Ultraviolette,Electric Vehicles,Series E,45000000.0,Karnataka,
Varde Partners,,,,,InMobi,Mobile Advertising,Debt,350000000.0,Karnataka,
Pratithi Investments,,,,,Planys Technologies,Water & Wastewater Management Tech,Series B,11100000.0,Tamil Nadu,
British International Investment,,,,,Apraava,Solar Energy,Debt,92000000.0,Maharashtra,
Brinc,,,,,Pathpulse,Management Consulting Services,Seed,900000.0,Maharashtra,
Sheela Group,,,,,Furlenco,Home Improvements,Series D,15000000.0,Karnataka,
Mukul Agrawal,,,,,StockGro,Investment Tech,Series B,16700000.0,Karnataka,
Patni Wealth Advisors,,,,,GetReplies,MarketingTech,Seed,1000000.0,Karnataka,
WestBridge Capital LLP,,,,,Finfactor,Investment Tech,Series A,15000000.0,Maharashtra,
Jongsong Investments,,,,,Atomberg,Smart Homes,Series C,24000000.0,Maharashtra,
Pidilite Ventures,,,,,Magicdecor,Home Improvements,Seed,571000.0,Maharashtra,
Noblevast Advisory,,,,,Pandorum,Regenerative Medicine,Series B,10000000.0,Karnataka,
RevX Capital,,,,,Money View,Alternative Lending,Debt,11400000.0,Karnataka,
Advencap,,,,,CloudExtel,Telecom Infrastructure,Debt,22400000.0,Maharashtra,
Neo,,,,,Auxilo,Higher Education Tech,Debt,25500000.0,Maharashtra,
Equanimity Investments,,,,,Neuron Energy,Energy Storage Tech,Series A,3500000.0,Maharashtra,
Incubate Fund India,,,,,Yuvrit,Healthcare – Ayurveda Clinics,Seed,800000.0,Karnataka,
Version One Ventures,,IN/AIF1/17-18/0321,Category I,,Arctus Aerospace,Aircraft Manufacturers,Seed,2600000.0,Karnataka,
Smilegate,,,,,Square Yards,Residential Real Estate Tech,Series B,35000000.0,Haryana,
Ekamya,,,,,Primebook,Computers & Accessories,Seed,,Delhi,
